Name,General contractor/JV,JV / parents,Concrete subcontractor,Client,Location,Country,Region,Lat,Lng,Value,Project type,Work nature,Project stage,Concrete opportunity,Use case,Competitor present,Expected concrete start,Expected completion,Summary,Source,Status,Verified,Notice URL,AE,Notes,Enrich,Build contacts,Create deal,Announced,Tender deadline,Fit,Fit profile,Fit reason,Fit dimensions,Product fit,Partner route,SDR,Value band
SKANSKA - 55 Old Broad Street - City of London,"Skanska Construction UK Ltd (main construction plus MEP via Skanska Rashleigh Weatherfoil). Parent: Skanska AB, Stockholm. Keltbray on demolition/enabling.",,Not appointed / not published. Skanska UK does not self-deliver frames on City office work as a rule — expect a named frame subcontractor to be let ahead of the October start.,"AshbyCapital (funder/owner), Landsec retained as development manager. Architect Fletcher Priest; structural engineer Heyne Tillett Steel; M&E consultant Atelier Ten; PM Turner & Townsend.","55 Old Broad Street, EC2M, City of London (with 65 Old Broad Street adjacent and the Grade II-listed Bishopsgate Victorian Bath House)",United Kingdom,uk,51.5163,-0.0842,282,Commercial / office,New build,Awarded - pre-start,Medium,"Raft / substructure / basement,In-situ frame",None identified,"October 2026, gated on Keltbray completing demolition. Substructure works into the retained 1974 basement first, then frame.",2029-12-31,"£282m redevelopment of 55 Old Broad Street into a 23-storey commercial office near Liverpool Street, retaining the existing basement and lower levels of the 1974 building. c.25,000 sq m office plus 1,400 sq m retail/F&B and public realm. Contract also covers refurbishment of the adjacent five-storey 65 Old Broad Street and a sensitive refurbishment of the Grade II-listed Bishopsgate Victorian Bath House. Construction October 2026 to late 2029.",NEWS,New,__YES__,https://www.skanska.com/uk/en-gb/news-insights/press-releases/2026/skanska-secures-contract-to-deliver-major-new-office-development-in-the-city-of-london,aled,"NEXT ACTION (25 Aug 2026): Aled to work via the existing Skanska UK relationship before the October start; the frame subcontract is the thing to be ahead of. CONFIRMED (Skanska Group and Skanska UK press releases, 29 Jun 2026): £282m value, AshbyCapital client, 23 storeys, Oct 2026 start, late 2029 completion, retained basement, Keltbray demolition, project team. INFERRED: nothing material. NOT CONFIRMED: frame subcontractor, concrete volumes, whether a low-carbon concrete target has been set — the scheme's sustainability positioning is not published in the same detail as One Appold Street.",__YES__,__YES__,__YES__,2026-06-29,,High,Schedule-critical vertical build,"The single best-timed record in the London sweep. Contract signed June 2026, demolition finishing, construction starting October 2026 — the frame method and pour sequence are being fixed right now, which is exactly the window before decisions lock. 23 storeys of repeating office floorplate over a retained basement means slab cycle time drives a three-year programme to a late-2029 completion. Skanska is a named Aled account, so there is a route in that does not depend on cold outreach.","Timing: HIGH — October 2026 start, pre-start today, everything ahead. Opportunity: HIGH — 23 repeating floorplates, 270,000 sq ft, cycle-time driven, plus retained-basement interface works. Access: HIGH — Skanska UK is a named account of Aled's with existing Converge relationships. Coverage: HIGH — named account resolves the UK Lisa/Aled ambiguity outright.","Cure / Signal,Data Hub",Direct,reed,250M+
MULTIPLEX - 99 City Road 36-storey tower - London EC1,"Multiplex Construction Europe Ltd. Parent: Multiplex (Brookfield). Appointed under PCSA first, then confirmed as main contractor August 2026.",,"Not published. Multiplex typically lets the frame to a specialist in London (Careys, Expanded, Byrne Bros are the usual names on schemes of this profile) — worth resolving, because the frame subcontractor is the buyer here.",Endurance Land (developer),"99 City Road, EC1, at the Old Street / City junction, London Borough of Islington",United Kingdom,uk,51.5265,-0.0873,300,Commercial / office,New build,Awarded - pre-start,Large,"Raft / substructure / basement,In-situ frame",None identified,Q3 2026 — Multiplex said main construction would begin within weeks of the August 2026 announcement. Substructure first; superstructure frame follows.,2030-12-31,"£300m, 36-storey commercial tower at 99 City Road delivering 475,000 sq ft of office space for developer Endurance Land, at the Old Street/City intersection. Multiplex confirmed as main contractor in August 2026 following earlier PCSA involvement. Practical completion targeted 2030.",NEWS,New,__YES__,https://www.constructionenquirer.com/2026/08/10/multiplex-gets-start-date-for-city-road-36-storey-tower/,aled,"AE ROUTING: UNRESOLVED — UK is shared between Lisa and Aled and Multiplex is not a named account of either. Lead product is Cure/Signal, which points to the geographic owner, but that does not disambiguate in the UK. Needs a call at triage. NEXT ACTION (25 Aug 2026): resolve the frame subcontractor before approaching — on a Multiplex tower that party is the actual buyer. CONFIRMED (Construction Enquirer, 10 Aug 2026): £300m, 36 storeys, 475,000 sq ft, Endurance Land, PCSA-to-build-contract route, main works this quarter, PC 2030. INFERRED: nothing material. NOT CONFIRMED: frame subcontractor, concrete volumes, floor-cycle target, whether any low-carbon concrete commitment applies.",__YES__,__YES__,__NO__,2026-08-10,,High,Schedule-critical vertical build,"36 storeys of repeating commercial floorplate with main works starting within weeks of the August 2026 announcement and a 2030 completion — four years of frame programme almost entirely ahead. Multiplex came through a PCSA, so the delivery method is settled but the pour-cycle detail is still being worked. On a tower of this height the slab cycle is the programme, and a day per floor across 36 floors is the whole argument in one number.","Timing: HIGH — main works commencing Q3 2026, frame entirely ahead. Opportunity: HIGH — 36 repeating floorplates, 475,000 sq ft, cycle-time driven to 2030. Access: MEDIUM — Multiplex is not a named Converge account and the frame subcontractor is unresolved; route in has to be built. Coverage: MEDIUM — UK shared patch, no named account to break the tie.","Cure / Signal,Data Hub",Direct,reed,250M+
"MULTIPLEX - The Dovetail Building, One Cutler Street - City of London","Multiplex Construction Europe Ltd (appointed under PCSA, carried into main contract). Deconstruct UK as substructure contractor.",,Deconstruct UK holds the substructure package. Superstructure frame subcontractor not published.,Brockton Everlast (developer/owner). Architect AHMM; structural engineer AKT II; PM Gardiner & Theobald; cost consultants Turner & Townsend / Alinea; MEPH Sweco.,"One Cutler Street, EC3, City of London",United Kingdom,uk,51.5157,-0.0768,400,Commercial / office,New build,Main works / on site,Medium,"Raft / substructure / basement,Piling / foundations,In-situ frame",None identified,Under way. Piling began November 2025 following completion of demolition; superstructure frame runs through to a Q2 2029 Cat A finish.,2029-06-30,"£400m, 23-storey office tower at One Cutler Street in the City for Brockton Everlast, designed by AHMM, providing 450,000 sq ft of office space with 3.2m net ceiling heights. A planning amendment reduced total emissions and embodied carbon, increased public realm and shortened the programme by simplifying the substructure. Multiplex appointed under PCSA; Deconstruct UK on substructure. Completion to Cat A finish Q2 2029.",NEWS,New,__NO__,https://www.constructionenquirer.com/2025/10/16/multiplex-lands-400m-dovetail-building-deal/,aled,"AE ROUTING: UNRESOLVED — UK shared, Multiplex is not a named account of either Lisa or Aled. NEXT ACTION (25 Aug 2026): check current frame progress before approaching; the record is built partly on an October 2025 announcement and the site has moved since. CONFIRMED (Construction Enquirer, 16 Oct 2025): £400m, 23 storeys, 450,000 sq ft, AHMM, Brockton Everlast, PCSA, Deconstruct UK substructure, piling from Nov 2025, Q2 2029 Cat A completion, full project team. INFERRED: that substructure is now complete or near — derived from the published November 2025 piling start plus a Q2 2029 finish, not from a 2026 source. NOT CONFIRMED: current site status as of Aug 2026, superstructure frame subcontractor, the embodied carbon target in numbers.",__YES__,__YES__,__NO__,,,High,Schedule-critical vertical build,"23 storeys and 450,000 sq ft on a programme running to a Q2 2029 Cat A completion, with piling having begun late 2025 — substructure done or nearly, superstructure frame still largely ahead. The distinguishing feature is that a planning amendment was taken specifically to cut embodied carbon and simplify the substructure, which means someone on this job is already accountable for a carbon number. That is the MixAI hook, and it is a mandated commitment rather than an aspiration.","Timing: MEDIUM-HIGH — piling started Nov 2025, so substructure is gone but the 23-storey frame is ahead to 2029. Opportunity: HIGH — 450,000 sq ft of repeating floorplate with 3.2m net ceiling heights, cycle-time driven. Access: MEDIUM — Multiplex not a named account; Deconstruct UK is a route to the substructure conversation only. Coverage: MEDIUM — UK shared patch, no named account.","Cure / Signal,Data Hub,MixAI",Direct,reed,250M+
SCS JV (SKANSKA COSTAIN STRABAG) - HS2 Euston Tunnel - London,"Skanska Costain STRABAG JV (SCS JV) — HS2's London tunnels contractor. Members: Skanska Construction UK, Costain Group plc, STRABAG AG. Segments manufactured by STRABAG at its Hartlepool facility.",,Self-delivered within the JV. STRABAG operates the precast segment factory at Hartlepool; SCL lining works delivered in-house by the JV.,HS2 Ltd (CEO Mark Wild). Euston Partnership Board on the terminus side.,"Old Oak Common to Euston, 7.2km twin bore beneath west and central London, 35-50m depth",United Kingdom,uk,51.5282,-0.1337,,Tunnel,New build,Main works / on site,Large,"Tunnel linings,Mass concrete,Precast",Not established. HS2 has heavy incumbent instrumentation across the programme — assume something is in place and check before pitching.,Under way and continuing. Segment casting at Hartlepool runs against the TBM drives to a 2027 Euston breakthrough. SCL lining and waterproofing at Old Oak Common continued to June 2026 with a further section following. 18 cross-passages still to construct.,,"7.2km twin-bore HS2 tunnel from Old Oak Common to Euston, at 35-50m depth, built by the Skanska Costain STRABAG JV. TBMs Madeleine and Karen launched January and March 2026, progressing up to 150m a week and expected to reach the Euston cavern in 2027. 48,294 precast concrete segments will be installed across both bores and 1.5 million tonnes of spoil excavated. Each 6-tonne segment is manufactured by STRABAG at a purpose-built Hartlepool facility and railed to London.",NEWS,New,__YES__,https://www.constructionenquirer.com/2026/03/17/final-hs2-tbm-starts-drive-towards-euston/,lisa,"AE ROUTING: CONFLICT — Skanska is a named Aled account, STRABAG is a named Lisa account, and both are members of SCS JV. Costain is neither. This is a genuine territory collision, not a UK shared-patch ambiguity, and it should be decided by Lisa and Aled together rather than by whoever opens the record. Set to lisa provisionally only because STRABAG owns the precast plant, which is where the concrete opportunity actually sits. CONFIRMED (Construction Enquirer 17 Mar 2026; NCE 22 Jan 2026; Railway-News Aug 2026): SCS JV composition, 7.2km twin bore, 35-50m depth, 48,294 segments, 6t per segment, STRABAG Hartlepool manufacture, TBM launch dates, 150m/week, 2027 Euston arrival, 1.5Mt spoil, 18 cross-passages. INFERRED: that segment production is past its midpoint — derived from launch dates and the 2027 completion, not published. NOT CONFIRMED: existing instrumentation on the segment plant or the drives; funding position for the Euston terminus itself.",__YES__,__NO__,__NO__,,,Medium,Mass-concrete civils,"48,294 precast segments across both bores is repeatability at industrial scale, and repeatability is the strongest signal in the mass-concrete profile — a saving on segment curing cycle multiplies 48,000 times. Add SCL lining works at Old Oak Common running through 2026 and cross-passage construction. Access is unusually good: two of the three JV members are named Converge accounts. The reason this is Medium and not High is timing — the TBMs launched in January and March 2026 and reach Euston in 2027, so a large share of the segment production run is already behind, and the Euston terminus itself remains unfunded.","Timing: MEDIUM — TBMs launched early 2026, Euston breakthrough 2027; segment casting ongoing but past its midpoint, and the terminus station is unfunded. Opportunity: HIGH — 48,294 segments at 6t each is the most repeatable pour programme in the sweep, plus SCL lining and cross-passages. Access: HIGH — Skanska is Aled's named account, STRABAG is Lisa's; two independent warm routes into the same JV. Coverage: LOW — that same fact is the problem. Skanska and STRABAG sit in different AE territories inside one contracting entity, and this needs deciding rather than assuming.","Cure / Signal,Data Hub,MixAI",Direct,reed,
BALFOUR BEATTY VINCI SYSTRA - HS2 Old Oak Common Station - London,"Balfour Beatty VINCI SYSTRA JV (BBVS). Members: Balfour Beatty Group, VINCI Construction UK, VINCI Construction Grands Projets, SYSTRA. Expanded (concrete frame, substructure, platforms), SB3 (diaphragm wall and piling), Anthro JV (MEP).",,"Expanded — frame, substructure and platform works. Concrete supplied by London Concrete (Holcim Group) from a dedicated on-site batching plant, over 90% of base slab concrete batched on site.",HS2 Ltd. Structural engineering design by WSP.,"Old Oak Common Lane, Old Oak Common, London Borough of Hammersmith & Fulham / Ealing border, west London",United Kingdom,uk,51.532,-0.2478,,Rail / metro,New build,Main works / on site,Large,"Mass concrete,Raft / substructure / basement,Piling / foundations,In-situ frame,Precast,Culverts / ancillary structures,Slabs / pavements",Not established — assume incumbent instrumentation on a scheme of this profile and check before pitching.,"Continuing. HS2's own spring 2026 look-ahead lists concrete structure works for the underground station, the concrete frame for the Shared Accommodation Building, internal site road and concrete surfaces, and concrete works to the ventilation shaft and crossover box, running Nov 2025 to Nov 2026.",,"The UK's largest new-build station: an 850m long, 20m deep underground box on c.1,600 reinforced concrete piles, with six 420m HS2 platforms below and eight surface platforms above, targeting BREEAM Outstanding. The 45,000 sq m base slab used 76,000m3 of concrete and 17,000t of steel across 91 pours, completing early 2025. All six underground platforms were completed August 2026 using 1,946 precast slabs on 1.59m cast-in-situ invert walls. Superstructure, the Shared Accommodation Building frame and shaft works continue.",NEWS,New,__YES__,https://www.newcivilengineer.com/latest/in-pictures-hs2-completes-six-450m-old-oak-common-platforms-14-08-2026/,aled,"AE ROUTING: UNRESOLVED — UK shared patch and no BBVS member is a named Converge account. NEXT ACTION (25 Aug 2026): target Expanded rather than the JV; they hold frame, substructure and platform works and own pour sequence. CONFIRMED (HS2 media centre; NCE 14 Aug 2026; Ground Engineering Feb 2025; HS2 spring 2026 look-ahead PDF): 850m box, 20m depth, ~1,600 piles, 76,000m3 base slab, 91 pours of 600-1,000m3, 45,000 sq m, 1.85m rebar layer, six platforms complete Aug 2026, 1,946 precast slabs, 1.59m invert walls, Explore Worksop precast supply, London Concrete on-site batching, >90% on-site batched, BREEAM Outstanding, remaining scope to Nov 2026. INFERRED: nothing material. NOT CONFIRMED: residual concrete volumes for superstructure and SAB; existing monitoring arrangements; station opening date is given as a 2029-2033 range, not a date.",__YES__,__NO__,__NO__,,,Medium,Mass-concrete civils,"An honest read: the headline mass concrete on this job is finished. The 45,000 sq m base slab took 91 pours of 600-1,000m3 each and completed in early 2025; all six high-speed platforms completed August 2026. What remains is the station superstructure above the base slab, the Shared Accommodation Building concrete frame, internal concrete surfaces and the retaining wall, ventilation shaft and crossover box works — real volume, but the repeating headline pours are behind us. The on-site London Concrete batching plant is a genuine second angle for MixAI, since batching is captive and over 90% of base slab concrete was produced on site.","Timing: MEDIUM — base slab and platforms complete; superstructure, SAB frame and shaft works run to at least Nov 2026 with station opening 2029-2033. Opportunity: MEDIUM — large residual volume but the highly repeatable phase has passed. Access: MEDIUM — Expanded is the frame party and the real target; BBVS itself is a large and slow entry. Coverage: MEDIUM — UK shared patch, no named account among BBVS members.","Cure / Signal,Data Hub,MixAI",Direct,reed,
JRL GROUP - Clarion affordable housing tower - North London,"JRL Group (appointed as construction partner). JRL self-delivers concrete frames through its in-house structures businesses, which is the point of interest here.",,Self-delivered within JRL Group.,Clarion Housing Group (has taken full ownership of the site). Group development officer Richard Cook.,North London — the specific site is not named in the source. NOT CONFIRMED.,United Kingdom,uk,,,68,Residential,New build,Main works / on site,Medium,In-situ frame,None identified,"Restarted March 2026, running to an early-2030 completion.",,"£68m contract for JRL Group as construction partner to Clarion Housing Group on a redesigned North London housing tower delivering 180 affordable homes — 88 social rent and 92 shared ownership — with more family-sized homes, public realm and connectivity improvements. Clarion has completed purchase of the site and taken full ownership. Works restarted March 2026 for completion early 2030.",NEWS,New,__NO__,https://www.constructionenquirer.com/2026/02/10/jrl-lands-68m-north-london-housing-tower-job/,aled,"AE ROUTING: UNRESOLVED — UK shared patch, JRL is not a named account. NEXT ACTION (25 Aug 2026): identify the actual site before any outreach — 'North London housing tower' is all the source gives, and a record without an address cannot be worked. CONFIRMED (Construction Enquirer, 10 Feb 2026): £68m, JRL Group as construction partner, Clarion Housing Group client, 180 homes split 88 social rent / 92 shared ownership, planning in place, restart March 2026, completion early 2030. INFERRED: that the frame is self-delivered — this follows from JRL Group's standing business model rather than from a statement about this contract, and should be verified. NOT CONFIRMED: site address, coordinates, storey count, frame type.",__YES__,__NO__,__NO__,,,Medium,Schedule-critical vertical build,The reason to keep this despite a thin source is the delivery model: JRL self-delivers concrete frames. A contractor that owns both the frame and the programme is a materially better prospect than one arguing with a subcontractor who carries no schedule risk — the party who benefits from a faster cycle is the same party who decides. 180 homes in a tower restarting March 2026 for a 2030 completion means the frame runs for most of four years. Held at Medium rather than High only because the site is unidentified.,"Timing: HIGH — works restarted March 2026 with completion early 2030, so the frame is almost entirely ahead. Opportunity: MEDIUM — 180 homes in a single tower, repeating residential floorplate, but modest by value. Access: HIGH — self-delivered frame means one organisation owns cycle time, and JRL is a repeat London frame contractor worth an account relationship beyond this job. Coverage: MEDIUM — UK shared patch, no named account.","Cure / Signal,Data Hub",Direct,reed,50-250M
"SKANSKA - One Appold Street, Broadgate - City of London","Skanska Construction UK Ltd (main construction), with Skanska Rashleigh Weatherfoil on M&E. Parent: Skanska AB.",,"Not published. Scope is frame retention and extension rather than a new frame, so the package profile is structural alteration rather than a conventional frame let.",Broadgate — a JV between British Land and GIC. Architect Piercy & Company.,"One Appold Street, Broadgate estate, EC2A, City of London",United Kingdom,uk,51.521,-0.0817,273,Commercial / office,Replacement,Main works / on site,,,None identified,Under way — construction began Q1 2026 for completion in 2029. Structural alteration to enlarge floorplates and six new storeys over the retained frame.,2029-12-31,"£273m redevelopment of One Appold Street on the Broadgate estate, originally built in 1986. The existing concrete and steel frame is retained rather than demolished, with the facade replaced, floorplates enlarged in all directions and six storeys added, producing a 14-storey building with c.33,400 sq m of office and c.4,460 sq m of leisure and hospitality. Targeting NABERS 5-5.5* and BREEAM Outstanding. Q1 2026 start, 2029 completion.",NEWS,New,__YES__,https://www.constructionnews.co.uk/contractors/skanska/skanska-scoops-273m-city-of-london-office-job-10-02-2026/,aled,"CONFIRMED (Skanska Group press release 10 Feb 2026; Construction News 10 Feb 2026): £273m, Broadgate JV (British Land/GIC) client, Piercy & Company architect, retained concrete and steel frame, six added storeys, enlarged floorplates, 14 storeys final, 33,400 sq m office plus 4,460 sq m leisure, NABERS 5-5.5* and BREEAM Outstanding targets, Q1 2026 start, 2029 completion, Skanska Rashleigh Weatherfoil on M&E. INFERRED: that new pour volume is modest relative to value — this follows from frame retention and is the basis for the Medium band, but no volumes are published either way. NOT CONFIRMED: concrete volumes, any specified low-carbon mix requirement, frame/structural alteration subcontractor.",__YES__,__YES__,__NO__,2026-02-10,,Medium,Low-carbon spec-in,"Deliberately not scored as a frame opportunity. The existing concrete and steel frame is being retained, floorplates enlarged and six storeys added — so new pour volume is a fraction of what a £273m headline implies, and grading this High on value would be exactly the size-is-not-fit error. What makes it worth keeping is the carbon position: the scheme targets BREEAM Outstanding and NABERS 5-5.5*, and the whole commercial logic is retention over demolition. That is a mandated, evidenced carbon commitment on a Skanska job, and Skanska is Aled's named account.","Timing: MEDIUM — construction began Q1 2026 to a 2029 completion, so structural alteration and the six-storey extension are ahead but the job is under way. Opportunity: LOW-MEDIUM — retained frame means limited new pour; extension and floorplate enlargement are the real scope. Access: HIGH — named Aled account with an existing Converge relationship. Coverage: HIGH — Skanska resolves UK routing outright.","MixAI,Data Hub",Direct,reed,250M+
"CHILD GRADDON LEWIS (designer, no contractor appointed) - Albert Jacob House, Roman Road - Bethnal Green, London","No main contractor appointed. Tender open, submissions close 11 September 2026. Designer: Child Graddon Lewis.",,Not applicable at this stage.,London Borough of Tower Hamlets,"Albert Jacob House, Roman Road, Bethnal Green, London Borough of Tower Hamlets",United Kingdom,uk,51.5296,-0.048,31,Residential,New build,PCSA / preconstruction,,,None identified,"Construction expected to start November 2026, gated on contract award following the 11 September tender close.",,"£30.9m Tower Hamlets scheme replacing a demolished former council office building on Roman Road with a nine-storey low-carbon development: 53 affordable homes for social rent, over 60% of them three and four-bedroom, above five flexible commercial units of around 350 sq m Class E space, plus landscaped communal areas and public realm. Falls within the Building Safety Act High Risk Building regime. Two-year programme.",NEWS,New,__NO__,https://www.constructionenquirer.com/2026/07/20/tower-hamlets-opens-bidding-on-31m-social-housing-build/,aled,"AE ROUTING: UNRESOLVED — UK shared patch, no contractor yet so no named account test can be applied. NEXT ACTION (14 Sep 2026): check the award after the 11 September tender close and rewrite this record with the winning contractor. CONFIRMED (Construction Enquirer, 20 Jul 2026): £30.9m value, Tower Hamlets client, Child Graddon Lewis designer, nine storeys, 53 affordable homes, >60% 3-4 bed, five commercial units c.350 sq m, existing building already demolished, HRB regime, tender closes 11 Sep, November start, two-year programme, part of a 4,000-home social rent programme. INFERRED: nothing. NOT CONFIRMED: bidder list, whether the 'low carbon' description carries a specified concrete requirement or is a general design claim.",__NO__,__NO__,__NO__,,2026-09-11,Medium,Schedule-critical vertical build,"Small by value but very well timed: tender closes 11 September 2026 with construction starting November, so the method is genuinely unfixed and the winning contractor is knowable within weeks. The Building Safety Act High Risk Building regime applies, which matters more than the value does — under HRB, Gateway evidence quality determines whether the scheme can proceed, and that turns concrete QA records from nice-to-have into a regulatory artefact. That is the Data Hub argument in its cleanest form.","Timing: HIGH — tender live, closes 11 Sep 2026, construction from November, nothing fixed. Opportunity: LOW-MEDIUM — nine storeys, 53 homes, two-year programme; modest volume. Access: LOW — no contractor to talk to yet; the route in is to watch the award. Coverage: MEDIUM — UK shared patch, no named account.","Cure / Signal,Data Hub",Direct,reed,Under 50M
STANHOPE / ERIC PARRY (no contractor appointed) - One London (1 Undershaft) - City of London,No main contractor appointed — appointment stated as due during 2026. Development manager: Stanhope. Architect: Eric Parry Architects. Keltbray is carrying out deconstruction of the existing St Helen's Tower.,,Not applicable at this stage.,"Aroland Holdings (consortium of Southeast Asian investors), with Stanhope as development manager. Landscape architect SLA. London Museum to operate the Level 73 viewing gallery.","Junction of Leadenhall Street and St Mary Axe, EC3A, City of London — site of the former St Helen's Tower",United Kingdom,uk,51.514,-0.081,,Commercial / office,Replacement,PCSA / preconstruction,,,None identified,"2028, gated on main contractor appointment (due 2026) and completion of Keltbray's deconstruction of St Helen's Tower. Completion 2033.",2033-12-31,"Formerly 1 Undershaft, rebranded One London. A 309.6m office-led tower at Leadenhall Street and St Mary Axe with 1.2 million sq ft of office space, 42,700 sq ft of ground-level public realm, a Level 11 elevated podium garden wrapping a 350m perimeter, and Europe's highest publicly accessible viewing gallery at Level 73 operated by London Museum. Full planning consent granted by the City of London Corporation in December 2025. Main contractor appointment due 2026, construction from 2028, completion 2033.",NEWS,New,__NO__,https://www.constructionenquirer.com/2026/06/01/start-date-set-for-city-of-londons-tallest-tower/,aled,"AE ROUTING: UNRESOLVED — no contractor appointed, so the named-account test cannot be applied yet; UK shared patch in the meantime. NEXT ACTION (ongoing): watch for the main contractor appointment, stated as due during 2026. That award is the trigger to rewrite this record and reband it. CONFIRMED (Construction Enquirer 1 Jun 2026; Construction Management 1 Jun 2026): 309.6m height, 1.2m sq ft, rebrand from 1 Undershaft, Aroland Holdings / Stanhope / Eric Parry, planning consent Dec 2025, Keltbray deconstruction under way, 2028 start, 2033 completion, Level 73 gallery, Level 11 podium garden, 42,700 sq ft public realm. INFERRED: c.73 floors — derived from the Level 73 gallery reference, not from a published floor count. NOT CONFIRMED: main contractor, capital value (reported as '$1bn-plus', which is too loose to enter as a Value), frame type, any carbon commitment. Value deliberately left blank.",__NO__,__NO__,__NO__,,,Medium,Schedule-critical vertical build,"At 309.6m this will share the title of the UK's tallest building, with 1.2 million sq ft over roughly 73 floors — the largest single vertical concrete programme identified anywhere in the London sweep. It is Medium rather than High purely on timing: construction does not start until 2028 and completes 2033. But the main contractor appointment is stated as due during 2026, which means the PCSA window — the exact moment the scoring model says is best, just before the method locks — is open right now. This is a record to hold and watch, not to work as a live opportunity.","Timing: MEDIUM — no contractor and a 2028 start, but the appointment is imminent and the PCSA window is open now. Opportunity: HIGH — 309.6m and c.73 floors of repeating plate is the largest vertical programme in the sweep; core slip and slab cycle define a five-year build. Access: LOW — no contractor to approach; Keltbray on deconstruction is the only party on site. Coverage: MEDIUM — UK shared patch and no named account, though the eventual appointment could resolve it.","Cure / Signal,Data Hub,MixAI",Direct,reed,250M+
"GRAHAM - London Metropolitan University estate overhaul - Holloway, London","Graham (Graham Group), set to be confirmed as strategic delivery partner after emerging as sole bidder.",,Not published.,London Metropolitan University,"London Metropolitan University estate, principally Holloway Road, London Borough of Islington",United Kingdom,uk,51.5555,-0.116,284,Education,Phase of larger scheme,PCSA / preconstruction,,,None identified,Unknown. No programme published and the delivery partner appointment is not yet confirmed.,,"Graham is set to be confirmed as strategic delivery partner on London Metropolitan University's £284m estate overhaul, having emerged as the sole bidder.",NEWS,New,__NO__,https://www.londonbuildexpo.com/construction-news,aled,"AE ROUTING: UNRESOLVED — UK shared patch, Graham is not a named account. THIN RECORD — assessed from a news-aggregator snippet only, no article opened. CONFIRMED: £284m figure, Graham as sole bidder and prospective strategic delivery partner, London Metropolitan University as client. INFERRED: that new-build concrete content is limited — this is a judgement about estate-overhaul programmes generally, not a finding about this one. NOT CONFIRMED: everything else — scope split between new build and refurbishment, programme, individual buildings, whether the appointment has actually been confirmed since the snippet was published.",__NO__,__NO__,__NO__,,,Low,Schedule-critical vertical build,"Thin record, snippet-only assessment. £284m over a university estate is a programme rather than a project, and estate overhauls of this kind skew heavily towards refurbishment, services and fit-out rather than new frame. Without a breakdown of which buildings are new-build there is no basis for claiming meaningful pour volume. Kept because Reed would rather disqualify by hand, and because a strategic delivery partner appointment with a sole bidder is an unusually clean early relationship if any new-build phases do exist.","Timing: MEDIUM — appointment not yet confirmed, so early. Opportunity: LOW — estate overhaul, new-build content unknown and probably limited. Access: MEDIUM — sole bidder means an uncontested and therefore approachable delivery partner. Coverage: MEDIUM — UK shared patch, no named account.",Cure / Signal,Direct,reed,250M+
